yearlink;year;municipality;link;ingeschreven;neergelegd;blanco_ongeldig
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Baelen;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=781&party_id=;2613;2415;197
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Balen;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=473&party_id=;15226;14285;950
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Bastenaken;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1103&party_id=;9474;9030;443
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Beaumont;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=715&party_id=;5005;4712;308
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Beauraing;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=823&party_id=;6065;5729;281
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Beauvechain;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=622&party_id=;4577;4298;200
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Beernem;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=990&party_id=;11472;10619;407
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Beerse;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=474&party_id=;11652;11010;594
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Beersel;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=925&party_id=;16891;15484;548
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Begijnendijk;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=949&party_id=;7220;6904;255
